timestamp,samples_per_sec,total_samples
2025-07-01T16:07:51+07:00,0.00,0
2025-07-01T16:07:56+07:00,0.00,0
2025-07-01T16:08:01+07:00,0.00,0
2025-07-01T16:08:06+07:00,0.00,0
2025-07-01T16:08:11+07:00,200000.00,1000000
2025-07-01T16:08:16+07:00,0.00,1000000
2025-07-01T16:08:21+07:00,0.00,1000000
2025-07-01T16:08:26+07:00,0.00,1000000
2025-07-01T16:08:51+07:00,513885.80,2569429
2025-07-01T16:08:56+07:00,1409421.00,9616534
2025-07-01T16:09:01+07:00,1083818.80,15035628
2025-07-01T16:09:06+07:00,1078566.00,20428458
2025-07-01T16:09:11+07:00,1278388.60,26820401
2025-07-01T16:09:16+07:00,1062117.40,32130988
2025-07-01T16:09:21+07:00,1242652.20,38344249
2025-07-01T16:09:26+07:00,1242714.40,44557821
2025-07-01T16:09:31+07:00,1267727.80,50896460
2025-07-01T16:09:36+07:00,1178358.00,56788250
2025-07-01T16:09:41+07:00,913327.40,61354887
2025-07-01T16:09:47+07:00,1011142.60,66410600
2025-07-01T16:09:52+07:00,979062.00,71305910
2025-07-01T16:09:57+07:00,982376.00,76217790
2025-07-01T16:10:02+07:00,1019003.00,81312805
2025-07-01T16:10:07+07:00,1071597.60,86670793
2025-07-01T16:10:12+07:00,857745.20,90959519
2025-07-01T16:10:17+07:00,983591.20,95877475
2025-07-01T16:10:22+07:00,999744.60,100876198
2025-07-01T16:10:27+07:00,811692.20,104934659
2025-07-01T16:10:32+07:00,1134255.40,110605936
2025-07-01T16:10:38+07:00,958870.80,115400290
2025-07-01T16:10:43+07:00,897953.00,119890055
2025-07-01T16:10:48+07:00,943275.20,124606431
2025-07-01T16:10:53+07:00,1007534.80,129644105
2025-07-01T16:10:58+07:00,1028503.60,134786623
2025-07-01T16:11:03+07:00,931572.60,139444486
2025-07-01T16:11:08+07:00,1014989.80,144519435
2025-07-01T16:11:13+07:00,946982.40,149254347
2025-07-01T16:11:18+07:00,954817.80,154028436
2025-07-01T16:11:24+07:00,888341.00,158470141
